Título,Autor,Cidade,País,Categoria,Ano,Breve descrição,Link de acesso,
Seattle Urban Mobility Plan,,"Seattle, Washington",EUA,Plano,,"Plano municipal de mobilidade da cidade de Seattle, EUA. Contém um capítulo específico para as Melhores Práticas em Viagens de Bicicleta e a Pé, com destaque para : Pedestres:
Calçadas contínuas, largas e bem conservadas; Semáforos para pedestres; Plantas e árvores; Faixas de pedestres com pavimento elevado; Fases de semáforos apenas para pedestres.",http://www.seattle.gov/transportation/docs/ump/07%20SEATTLE%20Best%20Practices%20in%20Transportation%20Demand%20Management.pdf,
Mitigation strategies and account methods for GHG emissions from Transportation,BID (Banco Interamericano de Desenvolvimento),-,-,,2013,"Documento focado em cidades latino-americanas que tem como objetivo a medição dos benefícios causados pela redução da emissão de gases do efeito estufa com projetos, políticas e estratégias de transportes sustentáveis.",https://publications.iadb.org/bitstream/handle/11319/3613/GHG%20Mitigation%20Strategies%20and%20Accounting%20Methods%20for%20Transport.pdf,
Promover uma nova cultura de mobilidade nas cidades,Civitas,,,,2010,"O objetivo do artigo é esclarecer e influenciar a conduta 3.138
da mobilidade, mediante campanhas de informação e
promoções destinadas a desenvolver uma conduta de
mobilidade sustentável entre os cidadãos sem
intervenções adicionais na infraestrutura.",http://www.civitas.eu/sites/default/files/civitas_ii_policy_advice_notes_08_promotion_and_education_es.pdf,
Cities Safer by Design,WRI Ross Center,-,-,Guia,2017,"Publicação contempla aspectos como: a melhoria no desenho urbano com o intuito de ampliar espaços para o pedestre; a redução de velocidade dos veículos, que ameaça todos os usuários das vias; a promoção de espaços públicos de alta qualidade para pedestres e ciclistas e a melhoria no acesso ao transporte coletivo.
",http://wricidades.org/research/publication/o-desenho-de-cidades-seguras,
Measuring the Street: New Metrics for 21st Century Streets,New York City - Departamento de transportes,New York,EUA,Relatório de impacto,2012,"Apresenta ferramentas para avaliar o sucesso dos projetos de desenho de via em NYC, em relação a metas de segurança para todos os usuários. Mostra os resultados como progresso para criar ambientes sustentáveis, seguros e econômicos.",http://www.nyc.gov/html/dot/downloads/pdf/2012-10-measuring-the-street.pdf,"Referência utilizada no ""Global Street Design Guide""."
Pedestrian Safety: a road safety manual for decision-makers and practitioners,Organização Mundial da Saúde,Geneva,Suíça,Manual ,2013,"Manual oferece informações para desenvolvimento e implementação de medidas que melhorem a segurança dos pedestres, assim como estratégias para elaboração de planos. Aplicável em cidades do mundo todo. ",http://apps.who.int/iris/bitstream/10665/79753/1/9789241505352_eng.pdf?ua=1,"Referência utilizada no ""Global Street Design Guide""."
The New York City: Pedestrian Safety Study & Action Plan,New York City - Departamento de Transportes,New York,EUA,Plano,2010,"Examina 8 anos de dados relacionados a segurança dos pedestres e identifica as lacunas em busca de mitigar esses problemas. A partir dos problemas identificados, o plano define as principais estratégias de atuação.",http://www.nyc.gov/html/dot/downloads/pdf/nyc_ped_safety_study_action_plan.pdf,"Referência utilizada no ""Global Street Design Guide""."
The Economic Benefits of Sustainable Streets,New York City - Departamento de Transportes,New York,EUA,Relatório de impacto,2013,"Apresenta ferramentas utilizadas para avaliar o impacto das intervenções em NYC em relação aos comércios locais, como a melhoria da acessibilidade e vias mais inclusivas tem impacto direto no aumento das vendas de comércios locais.",http://www.nyc.gov/html/dot/downloads/pdf/dot-economic-benefits-of-sustainable-streets.pdf,"Referência utilizada no ""Global Street Design Guide""."
Better Streets Plan,Departamento de Planejamento,San Francisco,EUA,Plano,2011,"O plano apresenta diretrizes para a composição do ambiente do pedestre baseadas em referências de onde as pessoas caminham, compram, brincam ou interagem. Contempla o desenho das calçadas e de intersecções.",http://www.sf-planning.org/ftp/BetterStreets/proposals.htm#Final_Plan,"Referência utilizada no ""Global Street Design Guide"". (Para obter o relatório completo, é necessário enviar email para o departamento"
Cities for people in practice,Energy Innovation,-,China,Estudo de caso,2015,O relatório apresenta estudos de caso (Hammarby Sjostad; Quartier Vauban; Liuyun Xiaoqu) baseados em 8 principios de cidade para pessoas (definidos pelo TOD - ITDP) que são: promover mobilidade a pé; conectividade; conexão de modais de transporte; rede de ciclovias; usos mistos; incentivar densidade; regiões compactas; regulamentações.  ,http://energyinnovation.org/wp-content/uploads/2015/01/Cities-for-People-in-Practice-2015.pdf,"Referência utilizada no ""Global Street Design Guide""."
Urban Mobility Plans - National Approaches and Local Practice,Agência Alemã de Cooperação Internacional (GIZ),Eschborn,Alemanha,Plano,2014,A publicação traz revisões de planos de mobilidade urbana de diversos países e o número crescente de exemplos que desenvolvem os planos orientados a mobilidade do pedestre e sustentabilidade. A intenção do documento é de oferecer subsídios para gestores e técnicos elaborarem efetivos planos de mobilidade.,http://www.eltis.org/sites/eltis/files/trainingmaterials/td13_ump_final.pdf,"Referência utilizada no ""Global Street Design Guide""."
Guía de diseño de calles e intersecciones para Buenos Aires,ITDP Argentina,Buenos Aires,Argentina,Guia,2016,"O documento tem como objetivo introduzir e promover o conceito de ruas sustentáveis, e busca consolidar o documento em uma referência para o desenho e reestruturação de vias que incluam todos os usuários e meios de transporte.",https://www.itdp.org/wp-content/uploads/2016/02/ITDP_Guia_de_diseno_de_calles.pdf,"Referência utilizada no ""Global Street Design Guide""."
"Foothpath design - a guide to creating foothpath that are safe, comfortable, and easy to use",ITDP,-,Índia,Guia,2013,O guia enfatiza a importância do desenho de vias que contemple todos os usuários e atividades. Traz conceitos chaves para desenvolver uma boa rede de mobilidade a pé baseado no IRC Guidelines e também estudos de caso locais e internacionais não contemplados no IRC Guidelines.,https://smartnet.niua.org/sites/default/files/resources/Footpath-design-131030.pdf,"Referência utilizada no ""Global Street Design Guide""."
Pedestrian Safety Program - Strategic Plan,UNC Highway Safety Research Center,Washington,EUA,Plano,2010,O documento traz uma análise de 15 anos do FHWA (Federal Highway Administration) com identificação as lacunas para criar o plano estratégico que priorize o pedestre. São descritas metodologias de pesquisa e estratégias a curto e longo prazo para melhorar a segurança dos pedestres.,https://safety.fhwa.dot.gov/ped_bike/pssp/background/background092010.pdf,"Referência utilizada no ""Global Street Design Guide""."
Improving walkability,Transport for London,Londres,Inglaterra,Guia,2005,"Destaca a importância de promover e melhorar a caminhabilidade em ruas e espaços públicos. Traz exemplos de estratégias, implementação e políticas para aplicação.",http://content.tfl.gov.uk/tfl-improving-walkability.pdf,"Referência utilizada no ""Global Street Design Guide""."
"Developing national action plans on transport, health and environment",World Health Organization,Europa,Europa,Plano,,,"http://www.euro.who.int/__data/assets/pdf_file/0010/247168/Developing-national-action-plans-on-transport,-health-and-environment.pdf?ua=1",
Improving the health of londoners,Transport for London,Londres,Inglaterra,Plano,,,http://content.tfl.gov.uk/improving-the-health-of-londoners-transport-action-plan.pdf,
